B10K-DU-011-20	Corythaixoides_concolor	VXAM00000000
B10K-DU-011-36	Chauna_torquata	VXAL00000000
B10K-DU-011-38	Sagittarius_serpentarius	VWYJ00000000
B10K-DU-011-42	Anthoscopus_minutus	VWYI00000000
B10K-DU-011-47	Zapornia_atra	VZTU00000000
B10K-DU-012-02	Buphagus_erythrorhynchus	VZTT00000000
B10K-DU-012-10	Ptilonorhynchus_violaceus	VZRJ00000000
B10K-DU-012-14	Pluvianellus_socialis	VZTS00000000
B10K-DU-012-30	Picathartes_gymnocephalus	WEKY00000000
B10K-DU-012-37	Upupa_epops	VZRI00000000
B10K-DU-012-38	Urocynchramus_pylzowi	VZRH00000000
B10K-DU-012-41	Chaetops_frenatus	VZTR00000000
B10K-DU-012-45	Pelecanoides_urinatrix	VZTQ00000000
B10K-DU-012-46	Prunella_fulvescens	VZTP00000000
B10K-DU-012-47	Tichodroma_muraria	WAAG00000000
B10K-DU-012-52	Brachypteracias_leptosomus	VYZX00000000
B10K-DU-012-55	Dromas_ardeola	VYZM00000000
B10K-DU-012-56	Balaeniceps_rex	VYZW00000000
B10K-DU-012-58	Pandion_haliaetus	VYZV00000000
B10K-DU-012-65	Grus_americana	WEIX00000000
B10K-DU-012-80	Bucorvus_abyssinicus	VYZL00000000
B10K-DU-013-18	Prunella_himalayana	VYZK00000000
B10K-DU-013-51	Ceyx_cyanopectus	VYZU00000000
B10K-DU-015-11	Emberiza_fucata	VYZJ00000000
B10K-DU-015-28	Calcarius_ornatus	WBNL00000000
B10K-DU-017-21	Centropus_bengalensis	WBNK00000000
B10K-DU-017-25	Centropus_unirufus	VYZI00000000
B10K-DU-017-47	Probosciger_aterrimus	VYZH00000000
B10K-DU-021-26	Columbina_picui	VYZG00000000
B10K-DU-021-33	Chroicocephalus_maculipennis	VYZF00000000
B10K-DU-023-52	Spizella_passerina	WBNQ00000000
B10K-DU-024-03	Halcyon_senegalensis	WBNJ00000000
B10K-DU-025-06	Eolophus_roseicapilla	WBNI00000000
B10K-DU-027-49	Pterocles_burchelli	VYZE00000000
B10K-DU-028-75	Onychorhynchus_coronatus	VZRK00000000
B10K-DU-029-24	Thalassarche_chlororhynchos	VZTW00000000
B10K-DU-029-28	Anhinga_rufa	VZTV00000000
B10K-DU-029-32	Orthonyx_spaldingii	VZTJ00000000
B10K-DU-029-33	Struthidea_cinerea	VZTI00000000
B10K-DU-029-36	Aleadryas_rufinucha	VZTH00000000
B10K-DU-029-37	Melanocharis_versteri	VZTG00000000
B10K-DU-029-38	Cnemophilus_loriae	VZTF00000000
B10K-DU-029-39	Eulacestoma_nigropectus	VZTE00000000
B10K-DU-029-40	Rhagologus_leucostigma	VZTD00000000
B10K-DU-029-41	Ifrita_kowaldi	VZRS00000000
B10K-DU-029-42	Oreocharis_arfaki	VZRR00000000
B10K-DU-029-43	Machaerirhynchus_nigripectus	VZRQ00000000
B10K-DU-029-44	Malurus_elegans	VZRP00000000
B10K-DU-029-46	Turnix_velox	VZTY00000000
B10K-DU-029-47	Daphoenositta_chrysoptera	VZRO00000000
B10K-DU-029-49	Dasyornis_broadbenti	VZRN00000000
B10K-DU-029-50	Grantiella_picta	VZRM00000000
B10K-DU-029-51	Pardalotus_punctatus	VZTX00000000
B10K-DU-029-52	Origma_solitaria	VZRL00000000
B10K-DU-029-53	Climacteris_rufus	VZRZ00000000
B10K-DU-029-58	Rhynochetos_jubatus	VZRY00000000
B10K-DU-029-61	Atrichornis_clamosus	WBMZ00000000
B10K-DU-029-69	Horornis_vulcanius	VZUA00000000
B10K-DU-029-75	Notiomystis_cincta	VZRX00000000
B10K-DU-029-76	Aegotheles_bennettii	VZRW00000000
B10K-DU-029-77	Falcunculus_frontatus	VZRV00000000
B10K-DU-029-80	Pedionomus_torquatus	VZRU00000000
B10K-DU-030-03	Drymodes_brunneopygia	VZTZ00000000
B10K-DU-030-18	Panurus_biarmicus	VZRT00000000
B10K-DU-030-22	Mohoua_ochrocephala	VZTA00000000
B10K-DU-030-25	Ibidorhyncha_struthersii	VZSZ00000000
B10K-DU-030-41	Sapayoa_aenigma	VZSY00000000
B10K-DU-030-59	Urocolius_indicus	WBNH00000000
B10K-Elachura-formosa	Elachura_formosa	WBNG00000000
B10K-Eudromia-elegans	Eudromia_elegans	VZSX00000000
B10K-IZ-033-77	Pteruthius_melanotis	WEIY00000000
B10K-IZ-033-78	Chloropsis_hardwickii	WEIW00000000
B10K-IZ-033-81	Pomatorhinus_ruficollis	VZSW00000000
B10K-Nothocercus-julius	Nothocercus_julius	VZSV00000000
B10K-Nothocercus-nigrocapillus	Nothocercus_nigrocapillus	WBNA00000000
B10K-Nothoprocta-ornata	Nothoprocta_ornata	VZSH00000000
B10K-Nothoprocta-pentlandii	Nothoprocta_pentlandii	VZSG00000000
B10K-UC-030-51	Chionis_minor	VZSF00000000
B10K-UC-030-53	Promerops_cafer	VZSE00000000
NCBI-001	Coturnix_japonica	GCA_001577835.1
NCBI-002	Sturnus_vulgaris	GCA_001447265.1
NCBI-003	Zosterops_lateralis_melanops	GCA_001281735.1
NCBI-004	Meleagris_gallopavo	GCA_000146605.3
NCBI-005	Apteryx_australis	GCA_001039765.2
NCBI-006	Falco_cherrug	GCA_000337975.1
NCBI-007	Zonotrichia_albicollis	GCA_000385455.1
NCBI-008	Lepidothrix_coronata	GCA_001604755.1
NCBI-009	Anser_cygnoides	GCA_000971095.1
NCBI-010	Setophaga_coronata	GCA_001746935.1
NCBI-011	Gallus_gallus	GCA_000002315.2
NCBI-012	Ficedula_albicollis	GCA_000247815.2
NCBI-013	Taeniopygia_guttata	GCA_000151805.2
NCBI-014	Aquila_chrysaetos_canadensis	GCA_000766835.1
NCBI-015	Calidris_pugnax	GCA_001431845.1
NCBI-016	Tympanuchus_cupido	GCA_001870855.1
